sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse
C57BL6J-2.036,scgen,endothelial cell_Fiber_tracts,200,0.519429430521836,0.666750967502594,0.335,1.0,0.335,0.885,0.6849277351361426,8.80454978942871,9.490367889404297,2.404936695098877,517.7719299316407,3.168119430541992
C57BL6J-2.036,scgen,endothelial cell_Isocortex,200,0.8905347633690842,0.9125860929489136,0.365,0.9863013698630136,0.36,0.815,0.4600459147439179,7.447286605834961,8.803804016113281,2.262407398223877,975.103564453125,3.146549701690674
C57BL6J-2.036,scgen,glutamatergic neuron_Fiber_tracts,200,0.506555163879097,0.5159225463867188,0.175,0.8571428571428571,0.15,0.695,0.481472793175121,20.10465145111084,29.667209243774415,16.57327060699463,964.5223388671875,3.7889978885650635
C57BL6J-2.036,scgen,glutamatergic neuron_Isocortex,200,0.7137898447461188,0.7686588168144226,0.225,0.9555555555555556,0.215,0.875,0.26265354248852363,17.09917621612549,27.923698806762694,17.09229850769043,800.3076477050781,4.0291218757629395
C57BL6J-2.036,scgen,oligodendrocyte_Fiber_tracts,200,0.5551953798844972,0.6479055881500244,0.35,0.9714285714285714,0.34,0.84,0.44399046987183327,4.454104995727539,6.177001953125,1.5992167472839356,888.9684753417969,3.4594438076019287
C57BL6J-2.036,scgen,oligodendrocyte_Isocortex,200,0.7129858246456162,0.508258581161499,0.3,0.9333333333333333,0.28,0.78,0.5683420179574132,5.866429138183594,7.64998607635498,2.298325252532959,592.6445922851562,3.529467821121216
C57BL6J-2.039,baseline,GABAergic neuron_Fiber_tracts,200,-0.11631890797269932,0.06805326044559479,0.205,0.34146341463414637,0.07,0.475,0.025056947608200455,45.106418228149415,46.10740203857422,31.61349220275879,1269.0156982421875,2.977485418319702
C57BL6J-2.039,baseline,GABAergic neuron_Isocortex,200,0.5257895919109317,0.48089754581451416,0.28,0.7857142857142857,0.22,0.74,0.0,47.7653694152832,51.87474594116211,27.572163391113282,859.9902526855469,3.076474905014038
C57BL6J-2.039,baseline,astrocyte_Fiber_tracts,200,0.3314656609411697,0.3147132396697998,0.2,0.75,0.15,0.67,0.08525867252241655,43.932368469238284,43.58238410949707,21.624128913879396,1222.8091674804687,3.3337674140930176
C57BL6J-2.039,baseline,astrocyte_Isocortex,200,0.7296422410560264,0.6990076899528503,0.335,0.9402985074626866,0.315,0.835,0.003088803088803089,68.08183364868164,69.80155181884766,39.7727611541748,1916.2074340820313,3.476325511932373
C57BL6J-2.039,baseline,endothelial cell_Fiber_tracts,200,0.4397563929993909,0.4043077230453491,0.205,0.8536585365853658,0.175,0.685,0.09090909090909091,46.48821792602539,48.39846916198731,26.340162086486817,1560.4796020507813,3.282719612121582
C57BL6J-2.039,baseline,endothelial cell_Isocortex,200,0.7018551783413124,0.5867999792098999,0.31,0.9354838709677419,0.29,0.82,0.002388535031847134,66.18984298706054,68.27736968994141,34.71520767211914,1765.69462890625,3.364633083343506
C57BL6J-2.039,baseline,glutamatergic neuron_Fiber_tracts,200,0.0174094352358809,-0.01422878447920084,0.285,0.24561403508771928,0.07,0.395,0.9391936381709741,48.76535530090332,48.98156394958496,35.16003837585449,1245.835009765625,3.8281922340393066
C57BL6J-2.039,baseline,glutamatergic neuron_Isocortex,200,0.35745893647341187,0.31500518321990967,0.225,0.6222222222222222,0.14,0.635,0.005045278137128072,54.250313186645506,59.715762329101565,40.75144653320312,858.1606567382812,4.065819263458252
C57BL6J-2.039,baseline,oligodendrocyte_Fiber_tracts,200,0.34657016425410636,0.3232589066028595,0.26,0.8461538461538461,0.22,0.83,0.06720977596741344,56.62724418640137,58.1589771270752,26.667041969299316,2071.462939453125,3.517061710357666
C57BL6J-2.039,baseline,oligodendrocyte_Isocortex,200,0.7679066976674418,0.560619592666626,0.3,1.0,0.3,0.895,0.06210191082802548,63.88666534423828,67.18745803833008,34.19093055725098,2345.71533203125,3.661273956298828
C57BL6J-2.039,cellina-ablated,GABAergic neuron_Fiber_tracts,200,0.7549898747468687,0.7713084816932678,0.44,1.0,0.44,0.895,0.6253066878685742,32.72580909729004,40.040903091430664,7.257632732391357,386.23525390625,3.023493766784668
C57BL6J-2.039,cellina-ablated,GABAergic neuron_Isocortex,200,0.8777649441236032,0.903359591960907,0.545,1.0,0.545,0.98,0.9178355517981186,34.89027900695801,41.941483688354495,7.395738124847412,233.41372375488282,3.0371816158294678
C57BL6J-2.039,cellina-ablated,astrocyte_Fiber_tracts,200,0.828670216755419,0.7826823592185974,0.47,0.9893617021276596,0.465,0.91,0.7755757718348888,28.270367431640626,29.472281646728515,5.6344301223754885,322.83677368164064,3.397902727127075
C57BL6J-2.039,cellina-ablated,astrocyte_Isocortex,200,0.8656056401410037,0.8899069428443909,0.57,1.0,0.57,0.97,0.539030668298961,28.29429473876953,28.56026496887207,5.540126991271973,193.5822326660156,3.376676559448242
C57BL6J-2.039,cellina-ablated,endothelial cell_Fiber_tracts,200,0.5911017775444387,0.48530036211013794,0.475,0.8736842105263158,0.415,0.805,0.963823207267573,28.73293533325195,29.798756790161132,6.254614734649659,220.34636535644532,3.429661273956299
C57BL6J-2.039,cellina-ablated,endothelial cell_Isocortex,200,0.8978144453611342,0.8649600744247437,0.655,1.0,0.655,0.955,0.9389820428209654,28.490707397460938,28.844918060302735,5.018081188201904,109.11287231445313,3.409313917160034
C57BL6J-2.039,cellina-ablated,glutamatergic neuron_Fiber_tracts,200,0.7345008625215632,0.7893145680427551,0.46,0.9891304347826086,0.455,0.9,0.6296270377733598,32.79573383331299,42.754227828979495,11.543886661529541,595.4058654785156,3.9616854190826416
C57BL6J-2.039,cellina-ablated,glutamatergic neuron_Isocortex,200,0.8816335408385211,0.9213031530380249,0.485,1.0,0.485,0.945,0.6793267010393745,35.44088897705078,45.45726318359375,14.051289558410645,615.6803588867188,3.9750876426696777
C57BL6J-2.039,cellina-ablated,oligodendrocyte_Fiber_tracts,200,0.6768829220730519,0.7879050374031067,0.405,1.0,0.405,0.905,0.728618352504493,26.78749599456787,27.05156555175781,5.994291210174561,146.86024169921876,3.672866106033325
C57BL6J-2.039,cellina-ablated,oligodendrocyte_Isocortex,200,0.8394134853371337,0.600176990032196,0.59,0.9830508474576272,0.58,0.89,0.8812456567998761,26.620061492919923,26.982646942138672,4.918980598449707,114.1492706298828,3.7153193950653076
C57BL6J-2.039,cellina,GABAergic neuron_Fiber_tracts,200,0.8602640066001651,0.8783794045448303,0.605,1.0,0.605,0.98,0.868340056484223,36.29981994628906,42.36960372924805,6.642033386230469,347.58876647949216,3.0469515323638916
C57BL6J-2.039,cellina,GABAergic neuron_Isocortex,200,0.8790999774994377,0.9493647217750549,0.665,1.0,0.665,1.0,0.9515167223082731,38.51925392150879,42.59278793334961,7.413519382476807,310.17616577148436,2.9959769248962402
C57BL6J-2.039,cellina,astrocyte_Fiber_tracts,200,0.8599504987624691,0.8218786716461182,0.615,1.0,0.615,0.955,0.7729929678718008,28.44755973815918,30.286126327514648,5.298967170715332,320.43646850585935,3.3712399005889893
C57BL6J-2.039,cellina,astrocyte_Isocortex,200,0.8839735993399837,0.9132168889045715,0.72,1.0,0.72,0.995,0.9543240104215713,28.243838691711424,28.83573684692383,5.332392692565918,185.29925231933595,3.3235983848571777
C57BL6J-2.039,cellina,endothelial cell_Fiber_tracts,200,0.6435040876021901,0.506637454032898,0.535,0.9158878504672897,0.49,0.825,0.9146801108176019,31.61576290130615,33.32182235717774,6.347024726867676,242.4698486328125,3.430570602416992
C57BL6J-2.039,cellina,endothelial cell_Isocortex,200,0.9000780019500488,0.8668453693389893,0.675,1.0,0.675,0.965,0.8418674698795181,31.60161781311035,32.18339881896973,6.036610221862793,155.96341552734376,3.4164271354675293
