cell_type,source_domain,target_domain,pearson,spearman,precision,rmse,method,brain_section
astrocyte,Thalamus,Fiber_tracts,0.5624,0.6633,0.31,2764.64208984375,cpa,C57BL6J-2.041
GABAergic neuron,Thalamus,Isocortex,0.5517,0.5882,0.42,1139.0059814453125,cpa,C57BL6J-2.041
GABAergic neuron,Thalamus,Fiber_tracts,0.5501,0.5798,0.39,1143.6568603515625,cpa,C57BL6J-2.041
endothelial cell,Thalamus,Isocortex,0.994,0.7747,0.21,2731.30126953125,cpa,C57BL6J-2.041
endothelial cell,Thalamus,Fiber_tracts,0.9955,0.7823,0.22,2710.151123046875,cpa,C57BL6J-2.041
glutamatergic neuron,Thalamus,Isocortex,0.8917,0.8127,0.43,10563.6689453125,cpa,C57BL6J-2.036
glutamatergic neuron,Thalamus,Fiber_tracts,0.9069,0.8326,0.42,10663.7587890625,cpa,C57BL6J-2.036
oligodendrocyte,Thalamus,Isocortex,0.6589,0.6246,0.18,5413.0869140625,cpa,C57BL6J-2.036
oligodendrocyte,Thalamus,Fiber_tracts,0.6727,0.6035,0.18,5422.544921875,cpa,C57BL6J-2.036
astrocyte,Thalamus,Isocortex,0.3987,0.4212,0.26,3216.660888671875,cpa,C57BL6J-2.036
astrocyte,Thalamus,Fiber_tracts,0.4641,0.5207,0.25,3247.30517578125,cpa,C57BL6J-2.036
GABAergic neuron,Thalamus,Isocortex,0.9064,0.6326,0.5,710.906005859375,cpa,C57BL6J-2.036
GABAergic neuron,Thalamus,Fiber_tracts,0.918,0.6517,0.54,728.809814453125,cpa,C57BL6J-2.036
endothelial cell,Thalamus,Isocortex,0.9874,0.7404,0.17,3178.968505859375,cpa,C57BL6J-2.036
endothelial cell,Thalamus,Fiber_tracts,0.989,0.7471,0.2,3155.8857421875,cpa,C57BL6J-2.036
glutamatergic neuron,Thalamus,Isocortex,0.8749,0.7739,0.42,12548.9462890625,cpa,C57BL6J-2.039
glutamatergic neuron,Thalamus,Fiber_tracts,0.8731,0.7896,0.38,12772.5498046875,cpa,C57BL6J-2.039
oligodendrocyte,Thalamus,Isocortex,0.7415,0.5155,0.13,6061.83935546875,cpa,C57BL6J-2.039
oligodendrocyte,Thalamus,Fiber_tracts,0.7617,0.5029,0.08,6008.3447265625,cpa,C57BL6J-2.039
astrocyte,Thalamus,Isocortex,0.7218,0.713,0.31,3742.2607421875,cpa,C57BL6J-2.039
astrocyte,Thalamus,Fiber_tracts,0.7472,0.7645,0.28,3738.916748046875,cpa,C57BL6J-2.039
GABAergic neuron,Thalamus,Isocortex,0.794,0.6909,0.29,1385.3028564453125,cpa,C57BL6J-2.039
GABAergic neuron,Thalamus,Fiber_tracts,0.8025,0.6754,0.36,1403.4530029296875,cpa,C57BL6J-2.039
endothelial cell,Thalamus,Isocortex,0.5935,0.5035,0.29,3657.5107421875,cpa,C57BL6J-2.039
endothelial cell,Thalamus,Fiber_tracts,0.6082,0.5589,0.34,3631.8369140625,cpa,C57BL6J-2.039
