KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
PELI1,KO-specific,SpatialProp-random,-0.4881893366677508,0.3,7.011601619720459,0.761854577749147,1,spatialprop
IRF3,full,SpatialProp-random,0.8346320599575391,0.9,7.670234088897705,0.2801781508690845,1,spatialprop
IRF3,KO-specific,SpatialProp-random,0.40157309652860346,0.7,7.737065811157227,0.47175250727650314,1,spatialprop
IRF5,full,SpatialProp-random,0.41039108563596843,0.8,7.1620617103576665,0.5664074577239685,1,spatialprop
IRF5,KO-specific,SpatialProp-random,-0.24058166466154612,0.6,7.118592700958251,0.6256442670809927,1,spatialprop
NFKBIA,full,SpatialProp-random,0.727043554999314,0.8,7.382757930755615,0.4941067284710658,1,spatialprop
NFKBIA,KO-specific,SpatialProp-random,0.13235431943088644,0.7,7.375410518646239,0.4988548569540362,1,spatialprop
LBP,full,SpatialProp-random,0.6725982834977737,0.9,7.841521244049072,0.37542987876427664,1,spatialprop
LBP,KO-specific,SpatialProp-random,-0.2745713465182919,0.4,7.828516693115235,0.6625457930640358,1,spatialprop
MAP2K3,full,SpatialProp-random,0.43442343011010676,0.7,7.359355182647706,0.47938804995517953,1,spatialprop
MAP2K3,KO-specific,SpatialProp-random,-0.18595101685078239,0.3,7.377561130523681,0.7860892657190446,1,spatialprop
MAP2K2,full,SpatialProp,0.1473312440105472,0.7,7.287504196166992,0.7864575672689906,2,spatialprop
MAP2K2,KO-specific,SpatialProp,0.07618995220886843,0.6,7.443647670745849,0.8513795044977547,2,spatialprop
IRAK1,full,SpatialProp,-0.11643091945840042,0.4,8.143076419830322,0.9883244546388721,2,spatialprop
IRAK1,KO-specific,SpatialProp,0.43072841618072216,0.3,8.105660152435302,0.8756443799001321,2,spatialprop
IRF7,full,SpatialProp,0.5689204369171138,0.6,7.038121128082276,0.6203700929327206,2,spatialprop
IRF7,KO-specific,SpatialProp,0.7519118978995303,0.5,7.087983512878418,0.5401730831091076,2,spatialprop
PELI1,full,SpatialProp,0.3908124844846029,0.5,7.222238159179687,0.6979073780311418,2,spatialprop
PELI1,KO-specific,SpatialProp,0.2713570329130987,0.7,7.194485282897949,0.4965967303703379,2,spatialprop
IRF3,full,SpatialProp,0.39744148119268535,0.7,7.715350532531739,0.5565695632401568,2,spatialprop
IRF3,KO-specific,SpatialProp,-0.022818849539400984,0.4,7.7064032554626465,0.6590906652344047,2,spatialprop
IRF5,full,SpatialProp,-0.03063993232411659,0.5,7.350314617156982,0.7906048329594213,2,spatialprop
IRF5,KO-specific,SpatialProp,-0.2011895952532476,0.6,7.121271991729737,0.6567421428338222,2,spatialprop
NFKBIA,full,SpatialProp,0.36938223187483654,0.6,7.250070667266845,0.9357437294659885,2,spatialprop
NFKBIA,KO-specific,SpatialProp,-0.18197696075463077,0.5,7.353254413604736,0.8106020015498524,2,spatialprop
LBP,full,SpatialProp,0.38766665301572917,0.5,8.01702947616577,0.7265479917273162,2,spatialprop
LBP,KO-specific,SpatialProp,0.1350068748920487,0.6,7.975368881225586,0.4630556328232768,2,spatialprop
MAP2K3,full,SpatialProp,0.395608009283829,0.6,7.291527366638183,0.4979936502328004,2,spatialprop
MAP2K3,KO-specific,SpatialProp,0.04193117663608971,0.3,7.294616031646728,0.6770826743779749,2,spatialprop
MAP2K2,full,SpatialProp-random,-0.3068050621717467,0.6,7.430790348052978,0.9033873141123158,2,spatialprop
MAP2K2,KO-specific,SpatialProp-random,-0.25699658037769446,0.5,7.570254974365234,0.9670702964663056,2,spatialprop
IRAK1,full,SpatialProp-random,-0.37500673505108584,0.22000000000000003,8.09208345413208,1.0574826433797462,2,spatialprop
IRAK1,KO-specific,SpatialProp-random,0.3381325669372657,0.2,8.14559202194214,0.9366153097316372,2,spatialprop
IRF7,full,SpatialProp-random,0.5522922262565908,0.42000000000000004,7.13768316268921,0.625076732808745,2,spatialprop
IRF7,KO-specific,SpatialProp-random,0.7389490832208699,0.4,7.067994079589843,0.5483764329607574,2,spatialprop
PELI1,full,SpatialProp-random,0.3329611130462615,0.5,7.049902286529542,0.6966666670034922,2,spatialprop
PELI1,KO-specific,SpatialProp-random,0.2781099740123835,0.7,7.107988319396972,0.49056176046549993,2,spatialprop
IRF3,full,SpatialProp-random,0.38135113751576666,0.7,7.721778259277345,0.5573415924869652,2,spatialprop
IRF3,KO-specific,SpatialProp-random,-0.01823310758980955,0.4,7.791475772857666,0.6509860887617946,2,spatialprop
IRF5,full,SpatialProp-random,-0.048054766901578116,0.5,7.1683504676818846,0.7955652393729578,2,spatialprop
IRF5,KO-specific,SpatialProp-random,-0.22043585900969626,0.6,7.2233984375,0.6617935200598822,2,spatialprop
NFKBIA,full,SpatialProp-random,0.332134332097028,0.6,7.409522743225098,0.9605957783471247,2,spatialprop
NFKBIA,KO-specific,SpatialProp-random,-0.216001890400922,0.5,7.393290977478027,0.8279219078372456,2,spatialprop
LBP,full,SpatialProp-random,0.329087198198067,0.42000000000000004,7.836941184997559,0.7456081192321449,2,spatialprop
LBP,KO-specific,SpatialProp-random,0.0944401182866242,0.52,7.919058380126954,0.4807173399948509,2,spatialprop
MAP2K3,full,SpatialProp-random,0.5051393253007659,0.6,7.4028819465637214,0.4840017247844256,2,spatialprop
MAP2K3,KO-specific,SpatialProp-random,0.19000401554625257,0.3,7.37974931716919,0.6796972321762086,2,spatialprop
MAP2K2,full,SpatialProp,0.22857405236220452,0.7,7.367100524902344,0.8972273357027248,3,spatialprop
MAP2K2,KO-specific,SpatialProp,0.21929939612023433,0.7,7.254175090789795,0.8407006900344819,3,spatialprop
IRAK1,full,SpatialProp,0.10170346814829478,0.4,7.953077697753907,1.1189036247354949,3,spatialprop
IRAK1,KO-specific,SpatialProp,0.2853367531736648,0.4,7.977890110015869,0.855150015027952,3,spatialprop
IRF7,full,SpatialProp,0.7386712575935213,0.5,7.137113189697265,0.6263561701139774,3,spatialprop
IRF7,KO-specific,SpatialProp,0.8828504768539308,0.4,6.971355724334717,0.5197371954581858,3,spatialprop
PELI1,full,SpatialProp,0.19014329198396218,0.6,7.065785312652588,0.7443093744104222,3,spatialprop
PELI1,KO-specific,SpatialProp,-0.2791425895486948,0.4,7.243379211425781,0.8238158961381116,3,spatialprop
IRF3,full,SpatialProp,0.10095749000169135,0.5,7.873496723175049,0.60323751687767,3,spatialprop
IRF3,KO-specific,SpatialProp,0.3181930972146598,0.6,7.916937446594238,0.39963574493368276,3,spatialprop
IRF5,full,SpatialProp,-0.29299519195136414,0.4,7.082090854644775,0.7976829530355377,3,spatialprop
IRF5,KO-specific,SpatialProp,0.045004189080975546,0.5,7.142837905883789,0.7359655685361758,3,spatialprop
NFKBIA,full,SpatialProp,0.4342922434644694,0.8,7.3210756301879885,0.7195842577945782,3,spatialprop
NFKBIA,KO-specific,SpatialProp,0.2580095729061201,0.6,7.299871921539307,0.6761888116535348,3,spatialprop
LBP,full,SpatialProp,0.2326582621511772,0.7,7.738500881195068,0.6351455274047856,3,spatialprop
LBP,KO-specific,SpatialProp,0.13895345198484838,0.8,7.936426448822021,0.37340803344603246,3,spatialprop
MAP2K3,full,SpatialProp,0.219352554561976,0.6,7.437638759613037,0.5775017052368981,3,spatialprop
