dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,neighbor_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb
crc,crc_242,REF,CRC,50,cellina,Endothelial,Endothelial,0.6679951980792316,0.9010846455858837,0.2,1.0,0.2,1.0,0.47738588130812604,73.4291281084535,75.1843649800973,7.596126774640228,206.45113774416413,3280.5960868188154,2.603476883103843,200
crc,crc_242,REF,CRC,50,cellina,Endothelial,Epithelial,0.7243697478991596,0.9085818269940958,0.32,1.0,0.32,1.0,0.5601707718221531,71.82596311834314,72.45876511165962,7.7987288131268695,180.67135745805643,2857.147895120022,1.6455109297488564,200
crc,crc_242,REF,CRC,50,cellina,Endothelial,Fibroblast,0.72984393757503,0.9138884452752672,0.24,1.0,0.24,0.98,0.4784141340722531,74.61883417446371,75.34741240178678,7.098795798938181,195.2356275811585,3252.7374542229268,2.6252222290704337,200
crc,crc_242,REF,CRC,50,cellina,Endothelial,Myeloid,0.6955582232893157,0.9078234309384569,0.2,1.0,0.2,0.98,0.4841247199902756,74.32806216342652,74.72921640566517,6.979167698489232,208.70004587717926,3275.499433147474,2.655747121227782,200
crc,crc_242,REF,CRC,50,cellina,Endothelial,T_cell,0.6614645858343337,0.8590253362624508,0.14,1.0,0.14,0.92,0.42453195273758343,77.36610283631819,77.95557247817366,7.026154332018244,259.93023993415096,3507.2381775860936,3.4294876764263695,200
crc,crc_242,REF,CRC,50,cellina,Epithelial,Endothelial,0.5939495798319328,0.6606136016316893,0.26,0.9230769230769231,0.24,0.86,0.7117888712404185,63.05274290247729,66.1803071229685,11.609677595302902,344.33994311668897,79352.53993924701,10.608047909150628,200
crc,crc_242,REF,CRC,50,cellina,Epithelial,Epithelial,0.5386314525810324,0.6198719832957974,0.28,0.9285714285714286,0.26,0.84,0.4773065009511664,64.23162633942383,66.27392554394956,11.740023836385955,365.96405206227126,79958.73648568097,11.172790427142996,200
crc,crc_242,REF,CRC,50,cellina,Epithelial,Fibroblast,0.6553181272509003,0.6120780846785372,0.18,1.0,0.18,0.84,0.32549685527960864,67.7113341558893,70.19375808281953,12.073136940710828,454.86459311596843,85743.37218955929,12.213021461155517,200
crc,crc_242,REF,CRC,50,cellina,Epithelial,Myeloid,0.5440096038415366,0.5913312014995715,0.24,1.0,0.24,0.8,0.7438356595514489,64.77680186581435,67.49981054586453,11.812360464340642,437.6531392061821,84687.75163878726,12.53431324490684,200
crc,crc_242,REF,CRC,50,cellina,Epithelial,T_cell,0.5713805522208883,0.6088171529250423,0.26,0.9230769230769231,0.24,0.82,0.10136857307292119,65.02994332019756,67.45979660501483,11.892845442374258,441.98072469597963,84616.68155647315,12.938792986278882,200
crc,crc_242,REF,CRC,50,cellina,Fibroblast,Endothelial,0.4522929171668667,0.5458523387134855,0.08,1.0,0.08,0.8,0.579119168724208,71.60585306175717,68.60288334538936,7.527694029123855,492.35647776841125,33805.85505907172,3.850137377030233,200
crc,crc_242,REF,CRC,50,cellina,Fibroblast,Epithelial,0.8730372148859544,0.8309089970612142,0.24,1.0,0.24,0.96,0.6037569687399122,73.1446996823846,71.047512369434,7.850087910766666,432.8969894216646,32432.796974941804,2.0657497273147882,200
crc,crc_242,REF,CRC,50,cellina,Fibroblast,Fibroblast,0.8798559423769508,0.8499302939721244,0.34,1.0,0.34,0.96,0.614505361240283,74.85450281329591,70.78631329612693,6.278549721710635,396.9659034040218,32624.040834165862,2.5202091706117695,200
crc,crc_242,REF,CRC,50,cellina,Fibroblast,Myeloid,0.8802400960384154,0.890599584295945,0.22,1.0,0.22,1.0,0.6068661682036428,72.33079094889516,70.00743989157216,6.646892468256107,429.85275489715605,32619.106841459638,2.50180883667536,200
crc,crc_242,REF,CRC,50,cellina,Fibroblast,T_cell,0.7502040816326531,0.7806681743072336,0.18,1.0,0.18,0.92,0.5843840898978354,74.12729551338234,71.14710401715297,6.953493202728547,527.7117477931549,33727.33654492654,3.711668591728472,200
