sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse
C57BL6J-2.039,cellina-ablated,endothelial cell_Fiber_tracts,200,0.5911017775444387,0.48530036211013794,0.475,0.8736842105263158,0.415,0.963823207267573,5.17182559967041,3.159362292289734,2689.435791015625
C57BL6J-2.039,cellina-ablated,endothelial cell_Isocortex,200,0.8978144453611342,0.8649600744247437,0.655,1.0,0.655,0.9389820428209654,5.768663024902343,1.3587640285491944,2566.338134765625
C57BL6J-2.039,cellina-ablated,glutamatergic neuron_Fiber_tracts,200,0.7345008625215632,0.7893145680427551,0.46,0.9891304347826086,0.455,0.6296270377733598,14.79124183654785,13.646161937713623,9155.568359375
C57BL6J-2.039,cellina-ablated,glutamatergic neuron_Isocortex,200,0.8816335408385211,0.9213031530380249,0.485,1.0,0.485,0.6793267010393745,18.94637279510498,18.246385383605958,9442.509765625
C57BL6J-2.039,cellina-ablated,oligodendrocyte_Fiber_tracts,200,0.6768829220730519,0.7879050374031067,0.405,1.0,0.405,0.728618352504493,3.4900068044662476,1.5664372563362121,4708.32177734375
C57BL6J-2.039,cellina-ablated,oligodendrocyte_Isocortex,200,0.8394134853371337,0.600176990032196,0.59,0.9830508474576272,0.58,0.8812456567998761,7.221746587753296,3.435640001296997,5191.8173828125
C57BL6J-2.039,cellina,GABAergic neuron_Fiber_tracts,200,0.8788734718367961,0.8971531987190247,0.63,1.0,0.63,0.910756878832074,8.866057872772217,8.372042846679687,1087.1519775390625
C57BL6J-2.039,cellina,GABAergic neuron_Isocortex,200,0.9034875871896798,0.967194139957428,0.715,1.0,0.715,0.8861229216677261,12.023912525177002,11.855760765075683,917.4396362304688
C57BL6J-2.039,cellina,astrocyte_Fiber_tracts,200,0.8723543088577216,0.840598464012146,0.62,1.0,0.62,0.9818262619925233,9.56186122894287,8.561755275726318,2226.0126953125
C57BL6J-2.039,cellina,astrocyte_Isocortex,200,0.8821930548263708,0.90601646900177,0.575,1.0,0.575,0.5441158928963807,10.903721332550049,9.026994991302491,2446.87841796875
C57BL6J-2.039,cellina,endothelial cell_Fiber_tracts,200,0.647659191479787,0.514250636100769,0.505,0.9306930693069307,0.47,0.8941112041749887,4.681611680984497,2.7809599161148073,2600.85107421875
C57BL6J-2.039,cellina,endothelial cell_Isocortex,200,0.9096977424435612,0.8720263838768005,0.67,1.0,0.67,0.6092810733379378,5.710924434661865,1.8755772471427918,2457.002197265625
C57BL6J-2.039,cellina,glutamatergic neuron_Fiber_tracts,200,0.8657796444911123,0.9298593997955322,0.675,1.0,0.675,0.986706503834138,11.859445953369141,12.128825092315674,9476.4736328125
C57BL6J-2.039,cellina,glutamatergic neuron_Isocortex,200,0.9077386934673368,0.9573514461517334,0.675,1.0,0.675,0.39644017249304025,16.165222263336183,15.508918762207031,7052.61181640625
C57BL6J-2.039,cellina,oligodendrocyte_Fiber_tracts,200,0.7920813020325509,0.8280540704727173,0.65,1.0,0.65,0.8743080364595506,4.039241027832031,1.8422535181045532,4630.30908203125
C57BL6J-2.039,cellina,oligodendrocyte_Isocortex,200,0.8518277956948925,0.5952566862106323,0.645,1.0,0.645,0.5233857697860895,7.973595714569091,3.813524913787842,5252.9912109375
C57BL6J-2.039,cellina-graph,GABAergic neuron_Fiber_tracts,200,0.7852891322283058,0.8102560043334961,0.46,1.0,0.46,0.8086560364464692,9.797911357879638,9.04265899658203,1095.0911865234375
C57BL6J-2.039,cellina-graph,GABAergic neuron_Isocortex,200,0.887158178954474,0.9539446234703064,0.63,1.0,0.63,0.7636887608069164,12.346073627471924,12.664487266540528,945.9346313476562
C57BL6J-2.039,cellina-graph,astrocyte_Fiber_tracts,200,0.8595634890872274,0.8242420554161072,0.56,1.0,0.56,0.7597208062112776,10.91436538696289,9.699568462371825,2561.74267578125
C57BL6J-2.039,cellina-graph,astrocyte_Isocortex,200,0.8746838670966774,0.9145144820213318,0.68,1.0,0.68,0.9796528235552625,11.338260459899903,9.328348159790039,2181.418212890625
C57BL6J-2.039,cellina-graph,endothelial cell_Fiber_tracts,200,0.6307312682817072,0.4984421730041504,0.495,0.9292929292929293,0.46,0.9317054313510728,5.042495059967041,3.082773804664612,2698.35107421875
C57BL6J-2.039,cellina-graph,endothelial cell_Isocortex,200,0.9106682667066678,0.877648651599884,0.695,1.0,0.695,0.6078965543703476,5.830576944351196,1.650277280807495,2510.52978515625
C57BL6J-2.039,cellina-graph,glutamatergic neuron_Fiber_tracts,200,0.7719777994449862,0.8462185263633728,0.48,0.9895833333333334,0.475,0.6303945470036921,13.826829719543458,13.579782295227051,9921.3603515625
C57BL6J-2.039,cellina-graph,glutamatergic neuron_Isocortex,200,0.9165769144228607,0.9570072293281555,0.61,1.0,0.61,0.8708685605825406,16.50554370880127,15.841952323913574,7805.65185546875
C57BL6J-2.039,cellina-graph,oligodendrocyte_Fiber_tracts,200,0.7777514437860948,0.8306503891944885,0.505,0.9900990099009901,0.5,0.773451810370732,3.4408205270767214,2.0035674810409545,4584.49462890625
C57BL6J-2.039,cellina-graph,oligodendrocyte_Isocortex,200,0.8562199054976376,0.636785626411438,0.605,1.0,0.605,0.6423282433128221,6.364661407470703,3.38163366317749,5134.81201171875
C57BL6J-2.039,cpa,GABAergic neuron_Fiber_tracts,200,0.6973689342233557,0.7593320608139038,0.42,0.9880952380952381,0.415,0.8172213469389745,10.140089511871338,9.020210647583008,1031.929931640625
C57BL6J-2.039,cpa,GABAergic neuron_Isocortex,200,0.8319837995949899,0.8907666206359863,0.585,1.0,0.585,0.9715086177637628,13.419135570526123,13.1027400970459,1026.4146728515625
C57BL6J-2.039,cpa,astrocyte_Fiber_tracts,200,0.7003315082877073,0.6944945454597473,0.35,0.9428571428571428,0.33,0.7526625362716649,11.712837505340577,9.909772491455078,2538.92626953125
C57BL6J-2.039,cpa,astrocyte_Isocortex,200,0.8383979599489988,0.8600072264671326,0.485,1.0,0.485,0.20422827008192862,12.31712303161621,10.212939739227295,2526.54345703125
C57BL6J-2.039,cpa,endothelial cell_Fiber_tracts,200,0.625976149403735,0.5066134929656982,0.475,0.9368421052631579,0.445,0.9486126323475722,4.977017259597778,3.2858222484588624,2612.00390625
C57BL6J-2.039,cpa,endothelial cell_Isocortex,200,0.8948758718967975,0.8705633878707886,0.64,1.0,0.64,0.9139104187450439,5.224621200561524,1.5540008902549745,2403.19775390625
C57BL6J-2.039,cpa,glutamatergic neuron_Fiber_tracts,200,0.7526363159078978,0.8326707482337952,0.45,0.9888888888888889,0.445,0.6547630786708322,13.981766986846925,13.422161388397218,9407.2431640625
C57BL6J-2.039,cpa,glutamatergic neuron_Isocortex,200,0.8854916372909324,0.9185060858726501,0.565,1.0,0.565,0.7374343846365532,17.422232818603515,16.44891490936279,8137.73779296875
C57BL6J-2.039,cpa,oligodendrocyte_Fiber_tracts,200,0.695780394509863,0.7817875146865845,0.425,0.9882352941176471,0.42,0.6597523080802092,3.6467488527297975,1.4119490265846253,4628.5224609375
C57BL6J-2.039,cpa,oligodendrocyte_Isocortex,200,0.8255051376284408,0.5922150015830994,0.59,0.9830508474576272,0.58,0.8625667457594165,7.428910207748413,3.4327571868896483,5079.09619140625
C57BL6J-2.039,scgen,GABAergic neuron_Fiber_tracts,200,0.7027600690017252,0.7457101941108704,0.27,0.9444444444444444,0.255,0.6216678942310976,6.501225852966309,6.316178798675537,816.3518676757812
C57BL6J-2.039,scgen,GABAergic neuron_Isocortex,200,0.7534943373584341,0.7918468713760376,0.395,0.9873417721518988,0.39,0.8292142088709793,8.482378196716308,12.05383243560791,1006.71826171875
C57BL6J-2.039,scgen,astrocyte_Fiber_tracts,200,0.7397854946373661,0.7166465520858765,0.34,0.9852941176470589,0.335,0.9430580608056884,6.073143339157104,5.879193592071533,1683.278076171875
C57BL6J-2.039,scgen,astrocyte_Isocortex,200,0.8348038700967526,0.8626495003700256,0.325,1.0,0.325,0.3867846941017673,6.072337245941162,6.89817247390747,1621.77099609375
C57BL6J-2.039,scgen,endothelial cell_Fiber_tracts,200,0.5913147828695718,0.5057248473167419,0.315,0.9523809523809523,0.3,0.668502888559586,2.270068073272705,2.1732529640197753,2034.052978515625
C57BL6J-2.039,scgen,endothelial cell_Isocortex,200,0.8296122403060078,0.8283438086509705,0.355,0.9859154929577465,0.35,0.45055380758703606,2.7600473880767824,2.217882442474365,1813.5067138671875
C57BL6J-2.039,scgen,glutamatergic neuron_Fiber_tracts,200,0.4342593564839122,0.43172943592071533,0.185,0.7027027027027027,0.13,0.589249872195399,11.274453926086426,10.925181102752685,6926.90966796875
C57BL6J-2.039,scgen,glutamatergic neuron_Isocortex,200,0.717625440636016,0.7523684501647949,0.22,0.9545454545454546,0.21,0.40038453441244976,14.222489547729491,17.658428955078126,9592.646484375
C57BL6J-2.039,scgen,oligodendrocyte_Fiber_tracts,200,0.48108752718817976,0.6956989765167236,0.45,1.0,0.45,0.44523963853604565,1.8228596210479737,2.3972638607025147,2966.111572265625
C57BL6J-2.039,scgen,oligodendrocyte_Isocortex,200,0.7640456011400287,0.5385575294494629,0.345,0.9855072463768116,0.34,0.5904096740394552,3.7691057205200194,3.0923202514648436,4068.598388671875
C57BL6J-2.041,baseline,GABAergic neuron_Fiber_tracts,200,0.121656953854422,0.10444504767656326,0.2,0.6,0.12,0.06282722513089005,14.425414943695069,15.56539421081543,592.3055419921875
C57BL6J-2.041,baseline,GABAergic neuron_Isocortex,200,0.4727144951303472,0.5291979312896729,0.265,0.6981132075471698,0.185,0.006917734218243555,24.857341003417968,28.048778343200684,1045.6954345703125
C57BL6J-2.041,baseline,astrocyte_Fiber_tracts,200,0.3395238654181089,0.3175472021102905,0.28,0.8392857142857143,0.235,0.01177824600498571,19.414663314819336,21.428030014038086,1540.92724609375
C57BL6J-2.041,baseline,astrocyte_Isocortex,200,0.6709367734193356,0.6332719922065735,0.33,0.8939393939393939,0.295,0.004476275738585497,33.04954071044922,35.1040283203125,2198.031494140625
C57BL6J-2.041,baseline,endothelial cell_Fiber_tracts,200,0.45415325990013,0.4377661943435669,0.195,0.9743589743589743,0.19,0.009063444108761328,19.9529052734375,21.625978851318358,1109.10302734375
C57BL6J-2.041,baseline,endothelial cell_Isocortex,200,0.7733064823762502,0.7296459078788757,0.415,0.963855421686747,0.4,0.01774622892635315,39.91568870544434,41.46147422790527,1471.1873779296875
C57BL6J-2.041,baseline,glutamatergic neuron_Fiber_tracts,200,-0.12148353708842723,-0.1689371019601822,0.245,0.3469387755102041,0.085,0.006075334143377885,20.094797706604005,21.577669143676758,4534.23046875
C57BL6J-2.041,baseline,glutamatergic neuron_Isocortex,200,0.28125103127578194,0.21133048832416534,0.265,0.6415094339622641,0.17,0.0056082830025884385,24.6770320892334,28.335667419433594,10397.7265625
C57BL6J-2.041,baseline,oligodendrocyte_Fiber_tracts,200,0.27974199354983875,0.2972010672092438,0.165,0.9393939393939394,0.155,0.07518072289156627,23.276014137268067,25.96372718811035,2546.216796875
C57BL6J-2.041,baseline,oligodendrocyte_Isocortex,200,0.4780949523738094,0.28236255049705505,0.305,0.9180327868852459,0.28,0.17863720073664827,33.203256607055664,35.2012279510498,3206.261962890625
C57BL6J-2.041,cellina-ablated,GABAergic neuron_Fiber_tracts,200,0.6658621465536639,0.5116408467292786,0.505,0.9108910891089109,0.46,0.9220187007722898,8.866516494750977,7.992469215393067,915.1146240234375
C57BL6J-2.041,cellina-ablated,GABAergic neuron_Isocortex,200,0.8892627315682893,0.9230142831802368,0.52,1.0,0.52,0.9962617687914802,12.662476348876954,12.307439422607422,872.5157470703125
C57BL6J-2.041,cellina-ablated,astrocyte_Fiber_tracts,200,0.7358658966474164,0.5902583599090576,0.435,0.9770114942528736,0.425,0.7435220117500144,9.426924133300782,7.293300533294678,2281.786865234375
C57BL6J-2.041,cellina-ablated,astrocyte_Isocortex,200,0.8786394659866498,0.8639471530914307,0.57,1.0,0.57,0.9899754401376554,9.72230863571167,7.721449756622315,1936.2271728515625
C57BL6J-2.041,cellina-ablated,endothelial cell_Fiber_tracts,200,0.6390597161403422,0.7507413029670715,0.495,0.8787878787878788,0.435,0.9242991797152783,4.157344555854797,2.039808976650238,1830.272705078125
C57BL6J-2.041,cellina-ablated,endothelial cell_Isocortex,200,0.9144423610590265,0.9200707077980042,0.69,1.0,0.69,0.8848024967108282,5.066521024703979,0.6404990732669831,1696.0667724609375
C57BL6J-2.041,cellina-ablated,glutamatergic neuron_Fiber_tracts,200,0.810902272556814,0.8471103310585022,0.41,1.0,0.41,0.6816256545486148,15.159127044677735,12.521433448791504,7821.7451171875
C57BL6J-2.041,cellina-ablated,glutamatergic neuron_Isocortex,200,0.8616995424885623,0.9247724413871765,0.48,1.0,0.48,0.7206829091243843,18.90812759399414,17.464175033569337,8791.1123046875
