model_name,num_epochs,dataset_name,dataset_size,dataset_path,total_train_time_sec,avg_ram_gb,avg_vram_gb,peak_vram_gb
scvi,50,crc_221,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,7.0149431228637695,9.326641082763672,0.08434438705444336,0.2585430145263672
scgen,50,crc_221,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,23.040306568145752,9.491423897121264,0.04210749916408373,0.0
scvi,50,crc_221,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,92.13441705703735,9.534671783447266,0.07903547908948816,0.2896251678466797
cellina,50,crc_221,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,3.006077766418457,9.801734924316406,0.1133584976196289,0.25504493713378906
cellina,50,crc_221,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,6.012176513671875,9.802630106608072,0.11509497960408528,0.5241985321044922
cellina,50,crc_221,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,90.14472913742065,9.803172641330296,0.16616676648457845,0.5362348556518555
cellina,50,crc_232,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,3.0060102939605713,8.583389282226562,0.14628235499064127,0.3073887825012207
cellina,50,crc_232,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,6.0114586353302,8.583389282226562,0.16829752922058105,0.5765171051025391
cellina,50,crc_232,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,60.10014295578003,8.583396911621094,0.2177445411682129,0.588531494140625
cellina,50,crc_242,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,3.0062379837036133,15.328105926513672,0.03585974375406901,0.15207624435424805
cellina,50,crc_242,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,6.012800693511963,15.328105926513672,0.07448093096415202,0.3416261672973633
cellina,50,crc_242,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,120.19055461883545,15.328250885009766,0.12896991173426312,0.3598790168762207
cpa,50,crc_221,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,4.005603075027466,10.696617126464844,0.05870163440704346,0.16649580001831055
cpa,50,crc_221,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,13.019893169403076,11.196024381197416,0.15335988998413086,0.3542208671569824
cpa,50,crc_221,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,169.24527621269226,11.273349942540277,0.16060082305817913,0.3818812370300293
scanvi,50,crc_221,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,6.015602111816406,7.33677609761556,0.08066137631734212,0.22853660583496094
scviva,50,crc_221,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,4.007760286331177,7.466520309448242,0.02827584743499756,0.09041547775268555
scanvi,50,crc_221,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,12.022809028625488,7.542369524637858,0.11560146013895671,0.5571422576904297
scviva,50,crc_221,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,7.0138936042785645,7.569553375244141,0.07189607620239258,0.2118368148803711
scanvi,50,crc_221,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,177.25627851486206,8.249406178792318,0.14036315713225112,0.5908112525939941
scviva,50,crc_221,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,82.13102746009827,8.07058334350586,0.05757667378681462,0.18361902236938477
scanvi,50,crc_232,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,5.009626150131226,6.985477447509766,0.039600276947021486,0.23600053787231445
scviva,50,crc_232,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,4.006926536560059,6.985477447509766,0.062134385108947754,0.11691904067993164
scanvi,50,crc_232,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,11.028879642486572,6.985477447509766,0.11734789068048651,0.571403980255127
scviva,50,crc_232,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,7.01183295249939,7.019016265869141,0.11651597704206194,0.2307438850402832
