KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
NFKBIA,KO-specific,Cellina-GAT,0.18155594171107328,0.5,3.7924547775960074,0.6058891495462936,2,cellina-gat
LBP,full,Cellina-GAT,0.8817347772052898,1.0,4.035932578723505,0.39493741561820384,2,cellina-gat
LBP,KO-specific,Cellina-GAT,0.8221641092976096,0.9,3.9147985275524855,0.31010489221069343,2,cellina-gat
MAP2K3,full,Cellina-GAT,0.14833746073422444,0.5,3.6949665368272084,0.5203251912452723,2,cellina-gat
MAP2K3,KO-specific,Cellina-GAT,0.5806148924188547,0.6,3.650086857369444,0.37326780495949025,2,cellina-gat
MAP2K2,full,Cellina-GAT-random,-0.9431718674766684,0.04,3.8475464356915294,0.8279074568327035,2,cellina-gat
MAP2K2,KO-specific,Cellina-GAT-random,-0.786772873118006,0.24,3.7589303966147902,0.7792199350031602,2,cellina-gat
IRAK1,full,Cellina-GAT-random,-0.23734980083594923,0.4,4.1989602845488365,0.695390470518005,2,cellina-gat
IRAK1,KO-specific,Cellina-GAT-random,-0.19091005545173273,0.4,4.220855880113006,0.5355614247571869,2,cellina-gat
IRF7,full,Cellina-GAT-random,0.12162428357223085,0.6599999999999999,3.532533984491826,0.5496158397067697,2,cellina-gat
IRF7,KO-specific,Cellina-GAT-random,0.5279864194059802,0.9,3.5837830075069497,0.381132173627411,2,cellina-gat
PELI1,full,Cellina-GAT-random,-0.3737158856889828,0.3,3.4990496112758906,0.5642075992410426,2,cellina-gat
PELI1,KO-specific,Cellina-GAT-random,-0.26574004933102724,0.21999999999999997,3.514216861644775,0.4529310212694083,2,cellina-gat
IRF3,full,Cellina-GAT-random,0.3988981396076986,0.6599999999999999,3.7800118346540588,0.3947054429765245,2,cellina-gat
IRF3,KO-specific,Cellina-GAT-random,0.6447164650890519,0.8,3.7909520817690803,0.22595274909049726,2,cellina-gat
IRF5,full,Cellina-GAT-random,-0.32774212767676336,0.26,3.3520915009962686,0.5310855323405578,2,cellina-gat
IRF5,KO-specific,Cellina-GAT-random,-0.1532954312641438,0.32,3.3645306710829104,0.4422594942165915,2,cellina-gat
NFKBIA,full,Cellina-GAT-random,-0.09533459338280205,0.4600000000000001,3.7352545110926636,0.8473129152897425,2,cellina-gat
NFKBIA,KO-specific,Cellina-GAT-random,0.04289677599285642,0.42000000000000004,3.769869737072816,0.6208454905811186,2,cellina-gat
LBP,full,Cellina-GAT-random,0.7929968373604697,0.9,3.9617079993549114,0.4353870774736592,2,cellina-gat
LBP,KO-specific,Cellina-GAT-random,0.9205602583456098,1.0,4.038990264905662,0.28704317891286935,2,cellina-gat
MAP2K3,full,Cellina-GAT-random,0.2986144967033816,0.6,3.6512820938389554,0.5060782806867129,2,cellina-gat
MAP2K3,KO-specific,Cellina-GAT-random,0.6052044126697779,0.7,3.744038497395316,0.3712642880068167,2,cellina-gat
MAP2K2,full,Cellina-GAT,0.7979671817592698,0.8,3.8113025126909092,0.5600576608380611,3,cellina-gat
MAP2K2,KO-specific,Cellina-GAT,0.8315700849506554,0.9,3.638988331510619,0.47437674571622307,3,cellina-gat
IRAK1,full,Cellina-GAT,0.22259202670291617,0.6,4.412632285759905,0.7647908438784486,3,cellina-gat
IRAK1,KO-specific,Cellina-GAT,0.5838157459350148,0.7,4.436334746983159,0.4133468060433908,3,cellina-gat
IRF7,full,Cellina-GAT,0.7942597317536266,0.8,3.7340330620948947,0.3223567387375244,3,cellina-gat
IRF7,KO-specific,Cellina-GAT,0.8804781803784066,0.9,3.6692383202830796,0.21105839446651165,3,cellina-gat
PELI1,full,Cellina-GAT,0.2716298470198738,0.5,3.6958437013742556,0.5617568285675344,3,cellina-gat
PELI1,KO-specific,Cellina-GAT,0.5925029091478583,0.7,3.6856418542834355,0.36059698119072714,3,cellina-gat
IRF3,full,Cellina-GAT,-0.6442223258021927,0.3,4.054205702057697,0.5283496219928431,3,cellina-gat
IRF3,KO-specific,Cellina-GAT,-0.03756684593473724,0.3,4.06832959982148,0.5215568549515753,3,cellina-gat
IRF5,full,Cellina-GAT,-0.3782985964746506,0.3,3.8353584999672834,0.6681431896148208,3,cellina-gat
IRF5,KO-specific,Cellina-GAT,-0.27329883524156234,0.5,3.658215461449564,0.4946756042655747,3,cellina-gat
NFKBIA,full,Cellina-GAT,0.049443091374090635,0.3,4.094991625958137,0.8780001265995372,3,cellina-gat
NFKBIA,KO-specific,Cellina-GAT,-0.0481757856328952,0.5,4.097852588472462,0.7182793042361596,3,cellina-gat
LBP,full,Cellina-GAT,-0.1757591407848438,0.4,4.378412164323427,0.623022358598902,3,cellina-gat
LBP,KO-specific,Cellina-GAT,-0.18156128662690413,0.5,4.2761277235513,0.5116123578604576,3,cellina-gat
MAP2K3,full,Cellina-GAT,-0.5871506321447039,0.3,4.0189626374577525,0.6012220351801025,3,cellina-gat
MAP2K3,KO-specific,Cellina-GAT,0.1296785153350403,0.7,3.817478142062653,0.4646713267431734,3,cellina-gat
MAP2K2,full,Cellina-GAT-random,0.2573576017649586,0.6,3.9322296973716506,0.7557905907698673,3,cellina-gat
MAP2K2,KO-specific,Cellina-GAT-random,0.2945298661979215,0.6,3.96182441526177,0.6845372281324185,3,cellina-gat
IRAK1,full,Cellina-GAT-random,-0.003308708464361605,0.32,4.530512626285467,0.8217560008363634,3,cellina-gat
IRAK1,KO-specific,Cellina-GAT-random,0.42333083993286247,0.5,4.486997520764054,0.49211980626571483,3,cellina-gat
IRF7,full,Cellina-GAT-random,0.4133703180196848,0.5,3.86681619218473,0.48285681161739796,3,cellina-gat
IRF7,KO-specific,Cellina-GAT-random,0.5300087021613518,0.7,3.78563942085533,0.32919898688200755,3,cellina-gat
PELI1,full,Cellina-GAT-random,-0.09929105005223707,0.5,3.76891957383215,0.6236007032922465,3,cellina-gat
PELI1,KO-specific,Cellina-GAT-random,0.5470478204620848,0.8,3.768657420836443,0.38358529680769143,3,cellina-gat
IRF3,full,Cellina-GAT-random,-0.787889463133849,0.12,4.1518077319807665,0.5417770714841867,3,cellina-gat
IRF3,KO-specific,Cellina-GAT-random,-0.03544142544075426,0.28,4.106682274763009,0.4889073997171057,3,cellina-gat
IRF5,full,Cellina-GAT-random,-0.39620405764662725,0.3,3.8197089473950356,0.6583759699541638,3,cellina-gat
IRF5,KO-specific,Cellina-GAT-random,-0.17571218879652847,0.52,3.7133364094189503,0.46100021026650584,3,cellina-gat
NFKBIA,full,Cellina-GAT-random,-0.3643875459170768,0.3,4.197701800744987,0.967862763509889,3,cellina-gat
NFKBIA,KO-specific,Cellina-GAT-random,-0.4811991905931462,0.3,4.210492508972326,0.8055919409302907,3,cellina-gat
LBP,full,Cellina-GAT-random,-0.5024750905322394,0.16,4.353644184144238,0.6462944761317895,3,cellina-gat
LBP,KO-specific,Cellina-GAT-random,-0.3867044305843441,0.16,4.365106778481535,0.5277887606621785,3,cellina-gat
MAP2K3,full,Cellina-GAT-random,-0.5891763024164253,0.3,4.04124567324328,0.6387142247173198,3,cellina-gat
MAP2K3,KO-specific,Cellina-GAT-random,-0.11828771458426206,0.64,4.027887457335458,0.5080367760935117,3,cellina-gat
MAP2K2,full,Cellina-GAT,0.883921154794387,0.9,3.81646356034197,0.5857827663994936,4,cellina-gat
MAP2K2,KO-specific,Cellina-GAT,0.8813023610458288,0.9,3.815116000307795,0.5916444250117071,4,cellina-gat
IRAK1,full,Cellina-GAT,0.7523367228176645,1.0,4.650317523300637,0.46604422014363056,4,cellina-gat
IRAK1,KO-specific,Cellina-GAT,0.7873014811157797,1.0,4.7478573782366125,0.3172900235979672,4,cellina-gat
IRF7,full,Cellina-GAT,0.8537438417770066,1.0,3.9301216250985975,0.2787582655039648,4,cellina-gat
IRF7,KO-specific,Cellina-GAT,0.8664915277475781,0.9,4.024548210388794,0.23132372686009597,4,cellina-gat
PELI1,full,Cellina-GAT,0.5895235516691457,0.6,3.7908393122797235,0.5072923380499171,4,cellina-gat
PELI1,KO-specific,Cellina-GAT,0.33783618320014447,0.5,3.7756445252561406,0.390034242798877,4,cellina-gat
IRF3,full,Cellina-GAT,0.7054816302108169,0.9,4.169329223780001,0.384337432459806,4,cellina-gat
IRF3,KO-specific,Cellina-GAT,0.8029897977139292,0.6,4.218941610585941,0.26725536021280416,4,cellina-gat
IRF5,full,Cellina-GAT,0.5925343804390852,0.9,3.768562168397632,0.3377987236684933,4,cellina-gat
IRF5,KO-specific,Cellina-GAT,-0.040252745200972065,0.5,3.863830804338152,0.3589047313013945,4,cellina-gat
NFKBIA,full,Cellina-GAT,0.41804769438213385,0.5,4.087132994853231,0.7500800857764066,4,cellina-gat
NFKBIA,KO-specific,Cellina-GAT,0.4055223251292154,0.5,4.138026610989379,0.6517332810280752,4,cellina-gat
LBP,full,Cellina-GAT,0.3201234128564755,0.7,4.314518305507518,0.5300909521655135,4,cellina-gat
LBP,KO-specific,Cellina-GAT,0.11814410297398441,0.6,4.469967869612374,0.42459149926327405,4,cellina-gat
MAP2K3,full,Cellina-GAT,0.4148924603675819,0.8,3.996367140376246,0.552053543405374,4,cellina-gat
MAP2K3,KO-specific,Cellina-GAT,0.645169621582361,0.8,3.8088931939973207,0.4836042714759128,4,cellina-gat
MAP2K2,full,Cellina-GAT-random,-0.5507240778360405,0.42000000000000004,4.142303342488362,0.8603512913589049,4,cellina-gat
MAP2K2,KO-specific,Cellina-GAT-random,-0.33242483864178957,0.43999999999999995,4.123978957751118,0.856590285266501,4,cellina-gat
IRAK1,full,Cellina-GAT-random,0.7058154611339773,0.9,4.612616180906775,0.6233747833870238,4,cellina-gat
IRAK1,KO-specific,Cellina-GAT-random,0.6455787617593295,0.8,4.637405178089015,0.45767459885598455,4,cellina-gat
IRF7,full,Cellina-GAT-random,0.17159954720876874,0.6399999999999999,3.847480006665367,0.5164372632857391,4,cellina-gat
IRF7,KO-specific,Cellina-GAT-random,0.27233102808500753,0.62,3.8200274769652416,0.33926181770150926,4,cellina-gat
PELI1,full,Cellina-GAT-random,0.23903831530836137,0.48,3.86891713956961,0.5818715781473003,4,cellina-gat
PELI1,KO-specific,Cellina-GAT-random,0.15105861648013508,0.45999999999999996,3.854028049622287,0.3766303513012195,4,cellina-gat
