sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca,edistance_pca_log,rmse,mse_lfc
crc_231,cpa,Endothelial_CRC,50,0.7548139255702281,0.9541206559448472,0.3,1.0,0.3,0.98,0.9476250431344021,39.11106380785283,44.67724358649916,52.16279295102438,5.995301818239483,3825.3215257128636,2.0226659992253118
crc_231,cpa,Epithelial_CRC,50,0.5378631452581032,0.5799333825578801,0.18,1.0,0.18,0.82,0.6419256642582288,42.43037840753302,49.766596913375324,199.12995881885206,4.670196775706389,91646.72157353461,3.9798142729050516
crc_231,cpa,Fibroblast_CRC,50,0.35471788715486197,0.4047151985356751,0.16,1.0,0.16,0.6,0.9201598222141995,41.747231135390045,46.89834262609892,114.5255587389111,5.550971961938477,34842.01057716638,1.1167223556200578
crc_231,cpa,Myeloid_CRC,50,0.17061224489795918,0.20739647463101463,0.1,0.8,0.08,0.56,0.6121340529610301,45.957464872816125,51.26148645368454,305.7789638878933,7.158479544568634,11363.835802457026,4.467353613376547
crc_231,cpa,T_cell_CRC,50,0.6514765906362544,0.5920989199947255,0.1,1.0,0.1,0.6,0.9759245991804457,43.93042997394232,49.8585143700193,81.06749391759392,5.143200044344684,16114.736826292143,1.4845502449834123
crc_231,scgen,Endothelial_CRC,50,0.7374309723889556,0.9595799700859085,0.14,1.0,0.14,0.84,0.9161541833375302,25.271453519445668,24.06465200431885,389.25293324469783,3.049649616357711,4308.598840898382,3.4789301277720712
crc_231,scgen,Epithelial_CRC,50,0.43049219687875145,0.4136657560507749,0.16,1.0,0.16,0.68,0.5376291373676046,15.168960536023452,17.74774354455553,514.4506192168436,2.2258204998493767,69931.3175668993,4.700899979391957
crc_231,scgen,Fibroblast_CRC,50,-0.17435774309723887,-0.3993233581764151,0.14,0.14285714285714285,0.02,0.26,0.9372764397949518,32.0700938464921,30.009641782362905,261.07654998996406,2.32898456874845,25225.50224919421,6.132511963717336
crc_231,scgen,Myeloid_CRC,50,0.6438895558223289,0.6388682111934806,0.12,1.0,0.12,0.64,0.9124046567643517,15.894117061510846,16.62373262633299,803.7366521435835,1.6233456862513784,12283.17694979344,3.2772326879739224
crc_231,scgen,T_cell_CRC,50,0.18213685474189675,0.007511645641496389,0.08,0.5,0.04,0.38,0.9520960982217381,35.094935614051984,32.30963950339951,224.62792443090007,2.930771154720057,14561.032011858662,3.9322004597177185
crc_232,baseline,Endothelial_CRC,50,0.7799759903961584,0.6282671788292229,0.14,1.0,0.14,0.88,0.09090909090909091,77.28126834724885,83.29856546806386,868.6620430559764,36.761787116868604,4856.766623360412,40.21660289789555
crc_232,baseline,Epithelial_CRC,50,0.6198799519807922,0.5549974858434791,0.32,0.875,0.28,0.66,0.0006699000509124038,50.81192477326759,54.56510371975877,3033.1224577744406,50.23317525292144,44219.21602015567,88.069160871763
crc_232,baseline,Fibroblast_CRC,50,0.6987274909963985,0.6466717965112871,0.16,1.0,0.16,0.66,0.6476443585407103,79.49787378715035,86.06598285721223,1382.2492063265554,37.854701495701256,28047.026459605935,33.843791341062314
crc_232,baseline,Myeloid_CRC,50,0.7774789915966386,0.6346939503251136,0.14,1.0,0.14,0.92,0.6343594836146972,75.10670655618094,80.72175436206598,1079.1941535845315,35.57629888119685,2884.2508332187303,33.20908823834859
crc_232,baseline,T_cell_CRC,50,0.41781512605042015,0.6293669155057131,0.04,1.0,0.04,0.76,0.9931972789115646,79.83523393314559,85.47208640610529,1045.4990627638417,42.31927932230342,4735.905423077337,22.026651890027388
crc_232,cellina-ablated,Endothelial_CRC,50,0.6745258103241296,0.7307401038351065,0.3,1.0,0.3,0.84,0.7431651616251014,60.28928639085261,67.88140517492967,130.35989492941732,6.394103095313757,6497.989735016872,1.1884942749785408
crc_232,cellina-ablated,Epithelial_CRC,50,0.42559423769507804,0.3314988664089897,0.06,0.3333333333333333,0.02,0.64,0.7091082488430415,48.70191312890738,53.165851599853895,153.03215402117098,4.74185020539816,46488.32997857958,5.945825157876616
crc_232,cellina-ablated,Fibroblast_CRC,50,0.4284753901560624,0.4065536545637942,0.06,0.6666666666666666,0.04,0.6,0.6572561656675577,55.86351297126114,61.8862382117718,455.3446354403571,6.383887416074277,28794.73630269611,3.377674114184058
crc_232,cellina-ablated,Myeloid_CRC,50,0.7575030012004801,0.8545523782148615,0.34,1.0,0.34,0.94,0.860276034842261,60.84775098929873,62.443649598963376,123.30413558892607,5.798160414958664,3696.996648258659,1.3653468234720216
crc_232,cellina-ablated,T_cell_CRC,50,0.7922689075630251,0.9730405992600725,0.34,1.0,0.34,0.98,0.9953455066237021,62.575892204780814,69.35276803997095,94.33346909270223,6.410858090667865,6214.869256020788,0.6208862455510584
crc_232,cellina,Endothelial_CRC,50,0.8356782713085233,0.88085081059823,0.36,1.0,0.36,1.0,0.9423500073677578,92.78769323316409,100.22481675099284,183.97291814161497,9.057486510721805,6515.389818048021,0.7598932358109367
crc_232,cellina,Epithelial_CRC,50,0.5359423769507803,0.48899816389450074,0.08,0.75,0.06,0.74,0.697840411326556,85.58618970372996,90.36786659044654,273.92321752655755,8.480087266150317,49472.45883508208,5.816181831652106
crc_232,cellina,Fibroblast_CRC,50,0.8301080432172869,0.9053724719986515,0.28,1.0,0.28,0.96,0.6686727842328108,88.28995891921028,93.29129618678385,500.7280508025616,8.518465113103877,27878.54855901392,1.819417357298551
crc_232,cellina,Myeloid_CRC,50,0.8354861944777912,0.87694976371346,0.34,1.0,0.34,0.98,0.851985760855041,88.93285373256677,88.79587239696642,196.25022475893758,7.321326328128198,3873.614140839915,1.231412734334078
crc_232,cellina,T_cell_CRC,50,0.7914045618247298,0.9696425922471799,0.44,1.0,0.44,1.0,0.9953455066237021,102.62966357273822,110.62244761575161,136.93160625160618,6.602833855438261,6932.929046026113,0.6630635077650723
crc_232,cellina-graph,Endothelial_CRC,50,0.8240576230492196,0.9023290823338632,0.4,1.0,0.4,0.96,0.9298067387411169,94.7877103577855,104.7893793687272,206.40698159120015,9.91625947064124,6760.763165182312,0.8483695600494824
crc_232,cellina-graph,Epithelial_CRC,50,0.07956782713085234,0.053812704254889654,0.26,0.6923076923076923,0.18,0.58,0.6580790791593525,89.30112284475196,93.52588960469383,306.16833107136557,9.201520442979145,50442.97404637168,6.353165503491498
