dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb,nb_deviance
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,glutamatergic neuron,0.8454741896758703,0.96969336,0.6,1.0,0.6,1.0,0.7248234121421903,38.94439849853516,43.840233993530276,10.265195369720459,340.46498718261716,12861.904,6.957345,200,0.09998855512997325
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,glutamatergic neuron,0.5795438175270108,0.8116046,0.42,1.0,0.42,1.0,0.3969772223800057,37.64264183044433,46.81042213439942,12.43574161529541,502.0859130859375,15260.992,5.5049834,200,0.09268124511821207
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,oligodendrocyte,0.588859543817527,0.5951093,0.56,1.0,0.56,0.88,0.6785932892382253,29.005138969421388,29.535692596435545,7.29813585281372,140.5058807373047,7379.17,86.912865,200,0.019499076778760588
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.5004081632653061,0.7523382,0.6,1.0,0.6,0.96,0.9001279100692049,29.999836349487303,30.38039436340332,8.14548044204712,111.32902526855469,7586.851,7.9863234,200,0.006546435792290032
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.8643937575030012,0.8810083,0.56,1.0,0.56,0.94,0.42845528455284554,30.799990844726562,30.201686096191406,7.860754585266113,275.005224609375,3637.838,10.045531,200,0.0326791078580769
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.8250180072028811,0.79357004,0.6,1.0,0.6,0.94,0.7497477322040101,31.866697311401367,32.322120666503906,7.392585945129395,380.7622344970703,4548.139,14.526677,200,0.020842356612650485
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.904921968787515,0.92607856,0.44,1.0,0.44,1.0,0.5222905828895376,40.52973861694336,44.250481033325194,8.564368343353271,279.12892456054686,1677.0375,6.439427,200,0.06852145960320562
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.6829771908763506,0.79817283,0.34,1.0,0.34,0.98,0.8086560364464692,42.35262832641602,46.667456436157224,9.082960891723634,354.4361206054688,1708.9274,10.691361,200,0.05429104179638701
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.8036974789915966,0.86539656,0.52,1.0,0.52,0.96,0.7830461975289693,30.80807571411133,30.956603240966796,9.301161956787109,158.248388671875,3469.6628,26.54251,200,0.023369144423908646
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.7837214885954381,0.9926217,0.12,1.0,0.12,0.68,0.8852468698322703,33.21258201599121,33.869024658203124,10.235657691955566,206.80551452636718,5112.635,267.2444,200,0.01561353594160339
