dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-graph,astrocyte,0.8401920768307323,0.8091844,0.58,1.0,0.58,0.94,0.7882885002483465,33.22719821929932,34.98375244140625,6.458066177368164,329.3326721191406,4340.4146,13.465382
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-graph,GABAergic neuron,0.8971428571428571,0.9610072,0.48,1.0,0.48,1.0,0.7030898061697387,44.79075546264649,49.40408096313477,10.132788181304932,425.86914978027346,1445.489,3.1233492
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-graph,GABAergic neuron,0.6435054021608644,0.77590704,0.3,1.0,0.3,0.92,0.8107973640695956,39.44005279541015,46.967786407470705,8.245613193511963,473.5482543945312,1693.9645,11.426881
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-graph,endothelial cell,0.8522929171668666,0.8811016,0.66,1.0,0.66,0.96,0.7476914025528867,34.25438270568848,35.07070121765137,7.61560583114624,217.50322265625,3349.2957,24.156475
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-graph,endothelial cell,0.6854741896758704,0.98911756,0.14,0.8571428571428571,0.12,0.52,0.6706827309236948,33.32147903442383,34.71189727783203,7.833190536499023,341.5808990478516,5075.7544,275.0766
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina,glutamatergic neuron,0.8001440576230492,0.9429439,0.64,1.0,0.64,0.98,0.2904474635562017,42.26495132446289,44.94790382385254,9.645400714874267,389.9224548339844,12747.996,10.186787
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina,glutamatergic neuron,0.7401200480192077,0.9080002,0.54,1.0,0.54,1.0,0.4702787552397951,41.93045845031738,46.82734260559082,9.984824562072754,572.4601501464844,12556.958,4.4103303
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina,oligodendrocyte,0.3461704681872749,0.5516729,0.2,1.0,0.2,0.74,0.8409286316536866,35.79428977966309,34.897365188598634,7.150850868225097,219.08783569335938,5509.934,232.49907
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina,oligodendrocyte,0.15226890756302522,0.7428401,0.36,1.0,0.36,0.9,0.9865060240963854,33.84173583984375,33.60441856384277,8.272119522094727,196.90344848632813,5169.182,17.28885
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina,astrocyte,0.8271308523409364,0.87253237,0.68,1.0,0.68,0.98,0.5837646848799094,38.36923599243164,36.787384033203125,7.80609016418457,314.8842346191406,3068.028,16.385527
