KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
NFKBIA,KO-specific,terra-lora-ep5,-0.24233651161193848,0.4,1.6929093057188846,0.5811065435409546,3,terra
LBP,full,terra-lora-ep5,0.4337030351161957,0.6,1.8934693238164257,0.3891012668609619,3,terra
LBP,KO-specific,terra-lora-ep5,-0.13394397497177124,0.4,1.833525484521775,0.4111419916152954,3,terra
MAP2K3,full,terra-lora-ep5,-0.39035627245903015,0.5,1.8127302668887673,0.7522346377372742,3,terra
MAP2K3,KO-specific,terra-lora-ep5,-0.4879233241081238,0.3,1.6442273522635875,0.591921865940094,3,terra
MAP2K2,full,terra-lora-ep5-random,0.4740050733089447,0.74,1.8649531856643828,0.7037542462348938,3,terra
MAP2K2,KO-specific,terra-lora-ep5-random,0.623903214931488,0.8,1.883927644149568,0.5966822504997253,3,terra
IRAK1,full,terra-lora-ep5-random,-0.1584504246711731,0.4,2.187131690128377,0.661103367805481,3,terra
IRAK1,KO-specific,terra-lora-ep5-random,0.30169954895973206,0.54,2.1545903335222247,0.4366603493690491,3,terra
IRF7,full,terra-lora-ep5-random,0.4387695789337158,0.6,1.8127849258968207,0.4873221516609192,3,terra
IRF7,KO-specific,terra-lora-ep5-random,0.336241751909256,0.6,1.7419212223632297,0.3373787999153137,3,terra
PELI1,full,terra-lora-ep5-random,-0.22510787844657898,0.56,1.6610982557302147,0.5729441046714783,3,terra
PELI1,KO-specific,terra-lora-ep5-random,-0.3197941184043884,0.36,1.6477309938839,0.5498393177986145,3,terra
IRF3,full,terra-lora-ep5-random,-0.39567211270332336,0.3,1.7903421272253321,0.5763081908226013,3,terra
IRF3,KO-specific,terra-lora-ep5-random,-0.3751376271247864,0.26,1.7721698223501037,0.4010991156101227,3,terra
IRF5,full,terra-lora-ep5-random,0.32281064987182617,0.5,1.5497157713097134,0.4272892475128174,3,terra
IRF5,KO-specific,terra-lora-ep5-random,-0.03433527424931526,0.44000000000000006,1.5458689259917218,0.36866819858551025,3,terra
NFKBIA,full,terra-lora-ep5-random,-0.2169182300567627,0.38,1.7264955949888257,0.7692693471908569,3,terra
NFKBIA,KO-specific,terra-lora-ep5-random,-0.26719334721565247,0.38,1.6945155902863374,0.5962275862693787,3,terra
LBP,full,terra-lora-ep5-random,0.3443039059638977,0.6,1.8079225185859165,0.4039827883243561,3,terra
LBP,KO-specific,terra-lora-ep5-random,-0.12852072715759277,0.43999999999999995,1.7869442913391342,0.39848119020462036,3,terra
MAP2K3,full,terra-lora-ep5-random,-0.34346574544906616,0.5,1.7773319905724407,0.720373272895813,3,terra
MAP2K3,KO-specific,terra-lora-ep5-random,-0.606411337852478,0.26,1.7554910368020362,0.5778781771659851,3,terra
MAP2K2,full,terra-lora-ep5,0.4966685473918915,0.7,1.433719491020832,0.6806730628013611,4,terra
MAP2K2,KO-specific,terra-lora-ep5,0.4471735656261444,0.7,1.4908327651481028,0.6278891563415527,4,terra
IRAK1,full,terra-lora-ep5,0.44446516036987305,0.6,1.9484092712335497,0.585675060749054,4,terra
IRAK1,KO-specific,terra-lora-ep5,0.20844677090644836,0.5,1.975025796339316,0.45413854718208313,4,terra
IRF7,full,terra-lora-ep5,0.16754987835884094,0.4,1.497312329991292,0.5474749207496643,4,terra
IRF7,KO-specific,terra-lora-ep5,-0.14197176694869995,0.3,1.6065058961439997,0.3977474272251129,4,terra
PELI1,full,terra-lora-ep5,-0.3829318881034851,0.5,1.3842965912702685,0.6190001964569092,4,terra
PELI1,KO-specific,terra-lora-ep5,-0.2764953076839447,0.6,1.392670039500405,0.537522554397583,4,terra
IRF3,full,terra-lora-ep5,0.09853518754243851,0.5,1.5846418892981813,0.4843765199184418,4,terra
IRF3,KO-specific,terra-lora-ep5,-0.5996752381324768,0.3,1.4549790978016497,0.4141123294830322,4,terra
IRF5,full,terra-lora-ep5,0.666677713394165,0.7,1.356563608876168,0.32581835985183716,4,terra
