sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca,edistance_pca_log,rmse,mse_lfc,nb_deviance
crc_232,scgen,Myeloid_CRC,50,0.6747178871548619,0.7804728170129518,0.18,1.0,0.18,0.88,0.4893909141334954,24.30693972243656,25.920370707187942,932.3188857675008,1.9194492008912303,3221.9730356476275,2.3949406330463607,0.053824303713360305
crc_232,scgen,T_cell_CRC,50,0.6445618247298919,0.9215220814564103,0.14,1.0,0.14,0.86,0.972414189111593,51.66874125720667,45.804322175509114,384.28254934681087,4.052790923767136,5585.601704124212,1.5656009515510656,0.055675173112122
crc_242,baseline,Endothelial_CRC,50,0.547563025210084,0.45557378734176285,0.08,1.0,0.08,0.88,0.2700124779527227,61.23101570870274,67.7582668533839,454.805870437977,28.157755082918918,2087.403737996814,35.73093248601634,0.41901443922417875
crc_242,baseline,Epithelial_CRC,50,0.6630972388955582,0.6299612479082181,0.28,0.9285714285714286,0.26,0.7,0.005195730872395101,61.63929994456576,66.17443792700409,999.0453092929922,46.712792621012355,88248.02358717346,121.35789228188638,0.46355050255511115
crc_242,baseline,Fibroblast_CRC,50,0.7546218487394958,0.5928822995624865,0.18,1.0,0.18,0.88,0.5258606630081691,61.994208210545025,68.07666594697005,1029.78308590897,31.347955415266405,28753.712136559658,69.88412506191092,0.36670829340042693
crc_242,baseline,Myeloid_CRC,50,0.7089075630252101,0.5993319651564726,0.18,1.0,0.18,0.9,0.3505106828689619,60.443846724826166,64.66726746517233,659.7463215790063,28.74554807103333,3728.593160967034,76.18408897894724,0.35821030137357546
crc_242,baseline,T_cell_CRC,50,0.7791116446578631,0.6478413709354905,0.14,1.0,0.14,0.9,0.0032101789114593496,62.99261598352676,72.14357674310737,345.84446622292364,30.363446658496493,13536.81130672501,61.4990481242895,0.35684543160009646
crc_242,cellina,Endothelial_CRC,50,0.6339015606242497,0.8955383956083628,0.22,1.0,0.22,1.0,0.45642019195705397,74.92021935971113,75.07988594512501,213.1470649463598,6.717898401934706,3282.649546423771,2.6255713004814556,0.033459811643477125
crc_242,cellina,Epithelial_CRC,50,0.7111164465786314,0.813180384870962,0.5,0.92,0.46,0.96,0.7883498731102614,70.39576486452613,71.18126031996873,267.67397635938426,8.859313710088163,76802.53619954416,7.800293654679106,0.032909697322717035
crc_242,cellina,Fibroblast_CRC,50,0.8136854741896759,0.8949017776112524,0.32,1.0,0.32,0.96,0.5986734020246789,72.66982938863524,69.52065167228412,452.30431213868553,6.6939804019085445,32779.07646205736,2.6421665675766803,0.04726289921125875
crc_242,cellina,Myeloid_CRC,50,0.7589435774309724,0.8948491164643246,0.48,1.0,0.48,0.98,0.9284848385307444,65.25054768300807,64.70875705323445,254.0015051042962,5.851909487539698,5386.227416741066,1.6081148493968147,0.02350748400015668
crc_242,cellina,T_cell_CRC,50,0.8312605042016806,0.874154873314823,0.38,1.0,0.38,0.98,0.9838956136750526,85.7989486279839,90.94121905166797,136.4234783819496,5.212106388274838,19120.898553063722,1.0074748168642609,0.005667357437978613
crc_242,cellina-ablated,Endothelial_CRC,50,0.6083553421368547,0.8145852576643392,0.12,1.0,0.12,0.92,0.48099903004383404,57.69699874638182,58.455093309820015,165.10487392237758,5.009619567274401,3044.3370034217833,2.9039725336383055,0.04270338326626867
crc_242,cellina-ablated,Epithelial_CRC,50,0.30823529411764705,0.381925511927939,0.14,0.8571428571428571,0.12,0.64,0.3779161551798073,51.419164670903626,53.077422529531376,569.2607972231419,10.369031810170695,85877.90538290441,14.283856615963648,0.05334046882505514
crc_242,cellina-ablated,Fibroblast_CRC,50,0.8230972388955583,0.8199292604631531,0.28,1.0,0.28,0.94,0.6024168767830813,55.387734030771114,52.804318296947564,417.1021484658828,4.940830975503966,31978.48699906772,2.044031734777777,0.04938477353071018
crc_242,cellina-ablated,Myeloid_CRC,50,0.7304201680672269,0.8396213139383221,0.36,1.0,0.36,0.96,0.9344478943710287,50.34833904206643,51.273454059866296,187.05461832941123,4.274374378748063,5041.000542839575,1.4599899681416124,0.023809141152597867
crc_242,cellina-ablated,T_cell_CRC,50,0.8139735894357742,0.8370564655636858,0.18,1.0,0.18,1.0,0.9622479326609295,66.20216995137532,70.95444956195082,108.6030453984608,4.997733059575814,17811.967342446977,0.7674148643899098,0.005719784447519343
crc_242,cellina-graph,Endothelial_CRC,50,0.6935414165666266,0.8851799985192134,0.24,1.0,0.24,0.98,0.48631146259963137,75.07638094612629,76.33586464740738,213.20964592643332,7.399098679087254,3120.5538873155297,2.327677810611661,0.03061296158536383
crc_242,cellina-graph,Epithelial_CRC,50,0.704873949579832,0.5876425024671551,0.06,1.0,0.06,0.84,0.19663783825851888,66.07434395261095,67.69587747389768,554.6041132508419,12.569508936238668,86034.0279292277,13.18664467562674,0.05118691045469304
crc_242,cellina-graph,Fibroblast_CRC,50,0.8914765906362545,0.9106357903237068,0.36,1.0,0.36,1.0,0.6244998938512231,73.14478522501597,67.88793532945127,387.35248599771916,7.775781577975093,31112.81685444217,1.2281018036208664,0.0397930773751474
